flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,submissionTime,versionId,linkedEvents,duration_minutes,flare_class,risk_level,hour,day,month,year,day_of_week,magnitude,flare_class_encoded
2024-01-11T19:08:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11 19:08:00+00:00,2024-01-11 19:23:00+00:00,2024-01-11 19:49:00+00:00,M1.2,N19W90,13538.0,2024-01-11 20:00:00+00:00,2,,41.0,M,2,19,11,1,2024,3,1.2,1
2024-01-12T02:55:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-12 02:55:00+00:00,2024-01-12 02:58:00+00:00,2024-01-12 03:02:00+00:00,M1.0,N18E18,13547.0,2024-01-12 14:59:00+00:00,1,,7.0,M,2,2,12,1,2024,4,1.0,1
2024-01-14T11:30:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-14 11:30:00+00:00,2024-01-14 12:06:00+00:00,2024-01-14 12:26:00+00:00,C9.6,N01W90,13543.0,2024-01-16 16:38:00+00:00,2,[{'activityID': '2024-01-14T12:00:00-CME-001'}],56.0,C,1,11,14,1,2024,6,9.6,0
2024-01-17T05:05:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-17 05:05:00+00:00,2024-01-17 05:23:00+00:00,2024-01-17 05:39:00+00:00,C1.7,N27E87,,2025-02-06 21:46:00+00:00,1,[{'activityID': '2024-01-17T05:12:00-CME-001'}],34.0,C,1,5,17,1,2024,2,1.7,0
2024-01-20T08:35:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-20 08:35:00+00:00,2024-01-20 09:34:00+00:00,2024-01-20 10:32:00+00:00,C3.5,S15E20,,2024-01-20 16:34:00+00:00,1,"[{'activityID': '2024-01-20T09:24:00-CME-001'}, {'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",117.0,C,1,8,20,1,2024,5,3.5,0
2024-01-21T00:03:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-21 00:03:00+00:00,2024-01-21 00:27:00+00:00,2024-01-21 00:35:00+00:00,C4.0,N20E41,13559.0,2024-01-21 16:08:00+00:00,1,"[{'activityID': '2024-01-21T00:36:00-CME-001'}, {'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T13:42:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",32.0,C,1,0,21,1,2024,6,4.0,0
2024-01-21T00:35:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-21 00:35:00+00:00,2024-01-21 00:41:00+00:00,2024-01-21 00:55:00+00:00,C5.3,N28E42,13559.0,2024-01-21 16:09:00+00:00,1,"[{'activityID': '2024-01-21T00:36:00-CME-001'}, {'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T13:42:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",20.0,C,1,0,21,1,2024,6,5.3,0
2024-01-22T06:09:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22 06:09:00+00:00,2024-01-22 06:22:00+00:00,2024-01-22 06:30:00+00:00,M1.5,N27E27,13559.0,2024-01-22 13:19:00+00:00,1,"[{'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T13:42:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",21.0,M,2,6,22,1,2024,0,1.5,1
2024-01-22T19:13:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22 19:13:00+00:00,2024-01-22 19:24:00+00:00,2024-01-22 19:28:00+00:00,M1.1,N25E14,13559.0,2024-01-22 20:04:00+00:00,1,,15.0,M,2,19,22,1,2024,0,1.1,1
2024-01-22T19:28:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22 19:28:00+00:00,2024-01-22 19:32:00+00:00,2024-01-22 19:36:00+00:00,M1.2,N25E14,13559.0,2024-01-22 19:55:00+00:00,2,,8.0,M,2,19,22,1,2024,0,1.2,1
2024-01-22T19:43:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22 19:43:00+00:00,2024-01-22 19:47:00+00:00,2024-01-22 19:53:00+00:00,M2.0,S17W27,13561.0,2024-01-22 20:07:00+00:00,1,,10.0,M,2,19,22,1,2024,0,2.0,1
2024-01-22T21:14:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22 21:14:00+00:00,2024-01-22 21:21:00+00:00,2024-01-22 21:32:00+00:00,M3.4,S18W30,13561.0,2024-01-23 13:43:00+00:00,1,[{'activityID': '2024-01-22T22:36:00-CME-001'}],18.0,M,2,21,22,1,2024,0,3.4,1
2024-01-22T21:36:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22 21:36:00+00:00,2024-01-22 21:43:00+00:00,2024-01-22 21:58:00+00:00,M1.6,S18W30,13561.0,2024-01-23 13:46:00+00:00,1,[{'activityID': '2024-01-22T22:36:00-CME-001'}],22.0,M,2,21,22,1,2024,0,1.6,1
2024-01-22T22:19:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22 22:19:00+00:00,2024-01-22 22:22:00+00:00,2024-01-22 22:26:00+00:00,M2.1,S19W30,13561.0,2024-01-23 13:49:00+00:00,1,,7.0,M,2,22,22,1,2024,0,2.1,1
2024-01-23T03:09:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 03:09:00+00:00,2024-01-23 03:31:00+00:00,2024-01-23 03:38:00+00:00,M5.1,N29E18,13559.0,2024-01-24 00:27:00+00:00,4,"[{'activityID': '2024-01-23T03:48:00-CME-001'}, {'activityID': '2024-01-23T04:12:00-CME-001'}]",29.0,M,2,3,23,1,2024,1,5.1,1
2024-01-23T06:45:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 06:45:00+00:00,2024-01-23 07:00:00+00:00,2024-01-23 07:14:00+00:00,C9.6,S17W35,13561.0,2024-01-24 17:15:00+00:00,1,[{'activityID': '2024-01-23T07:24:00-CME-001'}],29.0,C,1,6,23,1,2024,1,9.6,0
2024-01-23T07:52:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 07:52:00+00:00,2024-01-23 08:11:00+00:00,2024-01-23 08:18:00+00:00,M2.4,S18W38,13561.0,2024-01-23 13:52:00+00:00,1,,26.0,M,2,7,23,1,2024,1,2.4,1
2024-01-23T08:18:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 08:18:00+00:00,2024-01-23 08:22:00+00:00,2024-01-23 08:26:00+00:00,M2.3,S18W40,13561.0,2024-01-23 13:56:00+00:00,1,,8.0,M,2,8,23,1,2024,1,2.3,1
2024-01-23T09:17:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 09:17:00+00:00,2024-01-23 09:30:00+00:00,2024-01-23 09:36:00+00:00,C6.2,N30E16,13559.0,2024-01-24 00:20:00+00:00,1,[{'activityID': '2024-01-23T09:48:00-CME-001'}],19.0,C,1,9,23,1,2024,1,6.2,0
2024-01-23T13:03:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 13:03:00+00:00,2024-01-23 13:08:00+00:00,2024-01-23 13:13:00+00:00,M1.0,S18W38,13561.0,2024-01-23 14:03:00+00:00,1,[{'activityID': '2024-01-23T13:36:00-CME-001'}],10.0,M,2,13,23,1,2024,1,1.0,1
2024-01-23T14:45:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 14:45:00+00:00,2024-01-23 14:59:00+00:00,2024-01-23 15:05:00+00:00,M1.3,S18W42,13561.0,2024-01-23 15:27:00+00:00,1,,20.0,M,2,14,23,1,2024,1,1.3,1
2024-01-23T16:36:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 16:36:00+00:00,2024-01-23 16:40:00+00:00,2024-01-23 16:47:00+00:00,M4.3,S17W39,13561.0,2024-01-23 17:11:00+00:00,1,[{'activityID': '2024-01-23T17:36:00-CME-001'}],11.0,M,2,16,23,1,2024,1,4.3,1
2024-01-23T18:19:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 18:19:00+00:00,2024-01-23 18:28:00+00:00,2024-01-23 18:35:00+00:00,M1.0,S17W43,13561.0,2024-01-23 18:47:00+00:00,1,,16.0,M,2,18,23,1,2024,1,1.0,1
2024-01-23T18:35:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 18:35:00+00:00,2024-01-23 18:44:00+00:00,2024-01-23 18:49:00+00:00,M1.1,S16W43,13561.0,2024-01-23 18:56:00+00:00,1,,14.0,M,2,18,23,1,2024,1,1.1,1
2024-01-23T19:46:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 19:46:00+00:00,2024-01-23 19:52:00+00:00,2024-01-23 19:57:00+00:00,M1.0,S17W42,13561.0,2024-01-23 20:16:00+00:00,2,,11.0,M,2,19,23,1,2024,1,1.0,1
2024-01-23T19:57:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23 19:57:00+00:00,2024-01-23 20:01:00+00:00,2024-01-23 20:05:00+00:00,M1.0,S17W44,13561.0,2024-01-23 20:16:00+00:00,2,,8.0,M,2,19,23,1,2024,1,1.0,1
2024-01-24T00:21:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24 00:21:00+00:00,2024-01-24 00:38:00+00:00,2024-01-24 00:43:00+00:00,M1.0,S17W43,13561.0,2024-01-24 13:10:00+00:00,1,,22.0,M,2,0,24,1,2024,2,1.0,1
2024-01-24T01:31:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24 01:31:00+00:00,2024-01-24 01:40:00+00:00,2024-01-24 01:53:00+00:00,M2.6,S16W48,13561.0,2024-01-24 13:12:00+00:00,1,[{'activityID': '2024-01-24T01:36:00-CME-001'}],22.0,M,2,1,24,1,2024,2,2.6,1
2024-01-24T05:18:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24 05:18:00+00:00,2024-01-24 05:43:00+00:00,2024-01-24 06:00:00+00:00,M1.4,S16W51,13561.0,2024-01-24 13:15:00+00:00,1,,42.0,M,2,5,24,1,2024,2,1.4,1
2024-01-24T12:44:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24 12:44:00+00:00,2024-01-24 12:57:00+00:00,2024-01-24 13:14:00+00:00,C6.8,S18W52,13561.0,2024-01-24 20:53:00+00:00,1,[{'activityID': '2024-01-24T13:36:00-CME-001'}],30.0,C,1,12,24,1,2024,2,6.8,0
2024-01-24T20:44:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24 20:44:00+00:00,2024-01-24 20:58:00+00:00,2024-01-24 21:11:00+00:00,M1.3,S18W60,13561.0,2024-01-25 14:04:00+00:00,1,[{'activityID': '2024-01-24T22:24:00-CME-001'}],27.0,M,2,20,24,1,2024,2,1.3,1
2024-01-24T21:27:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24 21:27:00+00:00,2024-01-24 21:40:00+00:00,2024-01-24 22:15:00+00:00,C5.7,S17W63,13561.0,2025-02-07 01:14:00+00:00,1,[{'activityID': '2024-01-25T00:48:00-CME-001'}],48.0,C,1,21,24,1,2024,2,5.7,0
2024-01-28T15:52:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-28 15:52:00+00:00,2024-01-28 16:00:00+00:00,2024-01-28 16:22:00+00:00,C3.0,N30W55,13559.0,2024-01-28 21:13:00+00:00,1,[{'activityID': '2024-01-28T16:24:00-CME-001'}],30.0,C,1,15,28,1,2024,6,3.0,0
2024-01-29T01:29:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-29 01:29:00+00:00,2024-01-29 01:40:00+00:00,2024-01-29 01:52:00+00:00,M1.2,N30W61,13559.0,2024-01-29 02:44:00+00:00,1,[{'activityID': '2024-01-29T02:00:00-CME-001'}],23.0,M,2,1,29,1,2024,0,1.2,1
2024-01-29T03:54:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-29 03:54:00+00:00,2024-01-29 04:38:00+00:00,2024-01-29 05:15:00+00:00,M6.8,N25W70,13559.0,2024-01-29 05:45:00+00:00,3,"[{'activityID': '2024-01-29T04:38:00-CME-001'}, {'activityID': '2024-01-29T05:11:00-SEP-001'}, {'activityID': '2024-01-29T05:50:00-SEP-001'}, {'activityID': '2024-01-29T06:06:00-SEP-001'}, {'activityID': '2024-01-29T06:08:00-SEP-001'}, {'activityID': '2024-01-29T06:15:00-SEP-001'}]",81.0,M,2,3,29,1,2024,0,6.8,1
2024-01-30T00:07:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-30 00:07:00+00:00,2024-01-30 00:16:00+00:00,2024-01-30 00:22:00+00:00,C1.9,N31W78,13559.0,2024-01-30 14:00:00+00:00,2,[{'activityID': '2024-01-30T00:24:00-CME-001'}],15.0,C,1,0,30,1,2024,1,1.9,0
2024-02-01T06:36:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-01 06:36:00+00:00,2024-02-01 07:43:00+00:00,2024-02-01 08:48:00+00:00,C3.0,N20E05,,2024-02-01 14:07:00+00:00,1,[{'activityID': '2024-02-01T08:00:00-CME-001'}],132.0,C,1,6,1,2,2024,3,3.0,0
2024-02-01T14:57:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-01 14:57:00+00:00,2024-02-01 15:00:00+00:00,2024-02-01 15:04:00+00:00,C2.5,S20E80,,2025-02-07 01:32:00+00:00,1,[{'activityID': '2024-02-01T15:48:00-CME-001'}],7.0,C,1,14,1,2,2024,3,2.5,0
2024-02-02T02:52:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-02 02:52:00+00:00,2024-02-02 03:01:00+00:00,2024-02-02 03:05:00+00:00,M1.1,S18E60,13571.0,2024-02-02 12:37:00+00:00,1,[{'activityID': '2024-02-02T04:17:00-CME-001'}],13.0,M,2,2,2,2,2024,4,1.1,1
2024-02-02T10:48:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-02 10:48:00+00:00,2024-02-02 10:57:00+00:00,2024-02-02 11:03:00+00:00,C5.6,S19E56,13571.0,2024-02-03 22:09:00+00:00,1,[{'activityID': '2024-02-02T11:24:00-CME-001'}],15.0,C,1,10,2,2,2024,4,5.6,0
2024-02-02T15:25:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-02 15:25:00+00:00,2024-02-02 15:34:00+00:00,2024-02-02 15:39:00+00:00,C3.0,S19E53,13571.0,2024-02-03 21:54:00+00:00,1,[{'activityID': '2024-02-02T17:09:00-CME-001'}],14.0,C,1,15,2,2,2024,4,3.0,0
